código,nombre,poblaciónUrbana,poblaciónRural,departamento,esCapital
404,Abejorral,6724,12471,Antioquia,0
178,Ábrego,17287,21076,Norte de Santander,0
1090,Abriaquí,738,1337,Antioquia,0
89,Acacías,60918,11130,Meta,0
705,Acandí,5259,4246,Chocó,0
215,Acevedo,6515,27098,Huila,0
323,Achí,4193,19258,Bolívar,0
727,Agrado,5366,3745,Huila,0
644,Agua de Dios,8405,2505,Cundinamarca,0
67,Aguachica,82976,11888,Cesar,0
1103,Aguada,222,1607,Santander,0
354,Aguadas,11594,10271,Caldas,0
169,Aguazul,30075,9569,Casanare,0
130,Agustín Codazzi,38619,11436,Cesar,0
281,Aipe,17008,9925,Huila,0
878,Albán,1612,4344,Cundinamarca,0
343,Albán,8212,14210,Nariño,0
852,Albania,2473,3959,Caquetá,0
276,Albania,13534,13568,La Guajira,0
922,Albania,615,4547,Santander,0
355,Alcalá,11686,10093,Valle del Cauca,0
877,Aldana,1354,4650,Nariño,0
1024,Alejandría,1808,1627,Antioquia,0
583,Algarrobo,8452,4195,Magdalena,0
311,Algeciras,15582,8984,Huila,0
364,Almaguer,1603,19683,Cauca,0
1105,Almeida,270,1429,Boyacá,0
942,Alpujarra,1864,3110,Tolima,0
976,Altamira,2959,1418,Huila,0
187,Alto Baudó,9878,27828,Chocó,0
544,Altos del Rosario,8367,5579,Bolívar,0
747,Alvarado,3389,5427,Tolima,0
253,Amagá,16973,12797,Antioquia,0
346,Amalfi,12359,9894,Antioquia,0
842,Ambalema,5172,1583,Tolima,0
558,Anapoima,5801,7713,Cundinamarca,0
835,Ancuyá,1614,5291,Nariño,0
434,Andalucía,14687,3102,Valle del Cauca,0
141,Andes,23016,23205,Antioquia,0
729,Angelópolis,5384,3698,Antioquia,0
631,Angostura,1798,9442,Antioquia,0
600,Anolaima,3671,8539,Cundinamarca,0
450,Anorí,6903,10401,Antioquia,0
213,Anserma,21572,12097,Caldas,0
397,Ansermanuevo,13226,6224,Valle del Cauca,0
810,Anza,1268,6312,Antioquia,0
419,Anzoátegui,2112,16526,Tolima,0
35,Apartadó,164190,25135,Antioquia,0
406,Apía,8334,10789,Risaralda,0
791,Apulo,3151,4661,Cundinamarca,0
509,Aquitania,6352,8708,Boyacá,0
168,Aracataca,27958,11966,Magdalena,0
628,Aranzazu,6586,4707,Caldas,0
770,Aratoca,2447,5854,Santander,0
71,Arauca,78913,12011,Arauca,1
160,Arauquita,19106,22637,Arauca,0
593,Arbeláez,5313,7017,Cundinamarca,0
812,Arboleda,1129,6429,Nariño,0
734,Arboledas,2504,6468,Norte de Santander,0
163,Arboletes,17374,23835,Antioquia,0
914,Arcabuco,1972,3271,Boyacá,0
400,Arenal,5314,13988,Bolívar,0
759,Argelia,2512,6066,Antioquia,0
279,Argelia,4004,22972,Cauca,0
853,Argelia,3112,3309,Valle del Cauca,0
229,Ariguaní,20107,12181,Magdalena,0
85,Arjona,59175,16096,Bolívar,0
988,Armenia,1555,2555,Antioquia,0
22,Armenia,291692,8020,Quindío,1
611,Armero,8376,3463,Tolima,0
681,Arroyohondo,6774,3264,Bolívar,0
401,Astrea,10009,9246,Cesar,0
339,Ataco,5262,17327,Tolima,0
123,Ayapel,27679,25473,Córdoba,0
781,Bagadó,2337,5679,Chocó,0
713,Bahía Solano,4906,4445,Chocó,0
446,Bajo Baudó,3245,14262,Chocó,0
295,Balboa,7595,18209,Cauca,0
859,Balboa,1850,4481,Risaralda,0
106,Baranoa,49604,9398,Atlántico,0
698,Baraya,5101,4553,Huila,0
176,Barbacoas,16588,22120,Nariño,0
125,Barbosa,23857,27762,Antioquia,0
260,Barbosa,23315,5558,Santander,0
819,Barichara,2617,4549,Santander,0
997,Barranca de Upía,2921,1086,Meta,0
33,Barrancabermeja,173380,18236,Santander,0
194,Barrancas,18071,17322,La Guajira,0
430,Barranco de Loba,6304,11791,Bolívar,0
947,Barranco Minas,0,4903,Guainía,0
4,Barranquilla,1224374,4247,Atlántico,1
564,Becerril,10369,3019,Cesar,0
650,Belalcázar,5056,5704,Caldas,0
817,Belén,3731,3524,Boyacá,0
805,Belén,2979,4633,Nariño,0
620,Belén de los Andaquies,6593,5008,Caquetá,0
265,Belén de Umbría,13151,14571,Risaralda,0
14,Bello,467444,5940,Antioquia,0
837,Belmira,1953,4870,Antioquia,0
1082,Beltrán,441,1787,Cundinamarca,0
1096,Berbeo,538,1396,Boyacá,0
721,Betania,3854,5334,Antioquia,0
1092,Betéitiva,385,1639,Boyacá,0
443,Betulia,5869,11737,Antioquia,0
931,Betulia,1111,3964,Santander,0
1066,Bituima,445,2063,Cundinamarca,0
833,Boavita,2930,3984,Boyacá,0
828,Bochalema,2524,4496,Norte de Santander,0
1,Bogotá,8063991,16743,Cundinamarca,1
609,Bojacá,9509,2336,Cundinamarca,0
676,Bojayá,5129,4977,Chocó,0
149,Bolívar,5285,39415,Cauca,0
601,Bolívar,1310,10894,Santander,0
568,Bolívar,3407,9895,Valle del Cauca,0
183,Bosconia,34471,3399,Cesar,0
974,Boyacá,400,4014,Boyacá,0
752,Briceño,2568,6124,Antioquia,0
1063,Briceño,542,2026,Boyacá,0
10,Bucaramanga,522224,6351,Santander,1
966,Bucarasica,595,3975,Norte de Santander,0
18,Buenaventura,381746,33894,Valle del Cauca,0
885,Buenavista,838,4939,Boyacá,0
353,Buenavista,8444,13471,Córdoba,0
1054,Buenavista,1189,1618,Quindío,0
700,Buenavista,8167,1451,Sucre,0
222,Buenos Aires,2506,30328,Cauca,0
305,Buesaco,6237,19125,Nariño,0
57,Buga,98910,15897,Valle del Cauca,0
368,Bugalagrande,11917,9210,Valle del Cauca,0
847,Buriticá,1568,4998,Antioquia,0
1116,Busbanzá,460,732,Boyacá,0
973,Cabrera,1050,3428,Cundinamarca,0
1077,Cabrera,651,1662,Santander,0
993,Cabuyaro,1764,2284,Meta,0
1062,Cacahual,0,2582,Guainía,0
175,Cáceres,8949,29901,Antioquia,0
689,Cachipay,3146,6665,Cundinamarca,0
641,Cáchira,1715,9293,Norte de Santander,0
1098,Cácota,547,1326,Norte de Santander,0
772,Caicedo,1643,6632,Antioquia,0
254,Caicedonia,24458,5268,Valle del Cauca,0
602,Caimito,3385,8799,Sucre,0
394,Cajamarca,9996,9645,Tolima,0
184,Cajibío,1741,36107,Cauca,0
105,Cajicá,37365,21833,Cundinamarca,0
321,Calamar,13364,10245,Bolívar,0
742,Calamar,5317,3559,Guaviare,0
80,Calarcá,60343,18040,Quindío,0
78,Caldas,63051,16603,Antioquia,0
1017,Caldas,248,3348,Boyacá,0
218,Caldono,1465,31923,Cauca,0
3,Cali,2383392,36621,Valle del Cauca,1
1094,California,1084,922,Santander,0
490,Calima,9383,6411,Valle del Cauca,0
438,Caloto,4613,13067,Cauca,0
732,Campamento,2892,6143,Antioquia,0
491,Campo de La Cruz,13826,1927,Atlántico,0
200,Campoalegre,26143,8329,Huila,0
1007,Campohermoso,967,2846,Boyacá,0
348,Canalete,4271,17765,Córdoba,0
464,Cañasgordas,6762,9989,Antioquia,0
589,Candelaria,9619,2888,Atlántico,0
75,Candelaria,23426,60694,Valle del Cauca,0
711,Cantagallo,4485,4908,Bolívar,0
776,Cantón de San Pablo,3590,4585,Chocó,0
466,Caparrapí,2742,13968,Cundinamarca,0
900,Capitanejo,3104,2439,Santander,0
454,Cáqueza,7389,9740,Cundinamarca,0
967,Caracolí,3117,1452,Antioquia,0
910,Caramanta,3006,2334,Antioquia,0
935,Carcasí,657,4364,Santander,0
107,Carepa,45619,13048,Antioquia,0
746,Carmen de Apicalá,6898,1937,Tolima,0
720,Carmen de Carupa,2458,6733,Cundinamarca,0
903,Carmen del Darién,1339,4153,Chocó,0
1018,Carolina,2921,662,Antioquia,0
5,Cartagena,983629,41457,Bolívar,1
205,Cartagena del Chairá,12474,21434,Caquetá,0
45,Cartago,131748,1904,Valle del Cauca,0
1030,Carurú,686,2645,Vaupés,0
845,Casabianca,1461,5200,Tolima,0
685,Castilla la Nueva,5021,4878,Meta,0
55,Caucasia,97386,20284,Antioquia,0
1102,Cepitá,527,1319,Santander,0
68,Cereté,53796,39243,Córdoba,0
1012,Cerinza,1549,2165,Boyacá,0
892,Cerrito,2592,3068,Santander,0
790,Cerro de San Antonio,4379,3436,Magdalena,0
675,Cértegui,6362,3747,Chocó,0
545,Chachagüí,7217,6659,Nariño,0
1001,Chaguaní,747,3232,Cundinamarca,0
977,Chalán,2734,1633,Sucre,0
1065,Chámeza,1660,851,Casanare,0
140,Chaparral,26716,20532,Tolima,0
665,Charalá,5791,4663,Santander,0
1060,Charta,594,2043,Santander,0
46,Chía,104214,28477,Cundinamarca,0
77,Chigorodó,70264,9868,Antioquia,0
1041,Chima,862,2200,Santander,0
505,Chimá,3195,11970,Córdoba,0
245,Chimichagua,11732,18853,Cesar,0
470,Chinácota,11241,5272,Norte de Santander,0
1021,Chinavita,1220,2279,Boyacá,0
127,Chinchiná,45926,5150,Caldas,0
132,Chinú,24355,24486,Córdoba,0
765,Chipaque,2541,5859,Cundinamarca,0
930,Chipatá,692,4388,Santander,0
93,Chiquinquirá,57742,9406,Boyacá,0
904,Chíquiza,93,5340,Boyacá,0
398,Chiriguaná,14615,4760,Cesar,0
985,Chiscas,895,3305,Boyacá,0
709,Chita,2031,7376,Boyacá,0
667,Chitagá,3668,6723,Norte de Santander,0
897,Chitaraque,1129,4467,Boyacá,0
861,Chivatá,2638,3677,Boyacá,0
487,Chivolo,10814,5094,Magdalena,0
1104,Chivor,493,1259,Boyacá,0
655,Choachí,3623,7057,Cundinamarca,0
292,Chocontá,13237,12658,Cundinamarca,0
636,Cicuco,7581,3543,Bolívar,0
62,Ciénaga,100171,4726,Magdalena,0
94,Ciénaga de Oro,26795,39908,Córdoba,0
959,Ciénega,1331,3363,Boyacá,0
143,Cimitarra,18445,27456,Santander,0
248,Circasia,22724,7417,Quindío,0
733,Cisneros,7552,1446,Antioquia,0
280,Ciudad Bolívar,16188,10769,Antioquia,0
582,Clemencia,10653,2000,Bolívar,0
516,Cocorná,3966,10998,Antioquia,0
690,Coello,1892,7918,Tolima,0
334,Cogua,7107,15679,Cundinamarca,0
587,Colombia,2555,9975,Huila,0
673,Colón,1615,8553,Nariño,0
899,Colón,3309,2245,Putumayo,0
884,Colosó,3032,2771,Sucre,0
522,Cómbita,1132,13680,Boyacá,0
1026,Concepción,1420,1955,Antioquia,0
917,Concepción,2557,2673,Santander,0
374,Concordia,8621,11944,Antioquia,0
714,Concordia,4225,5113,Magdalena,0
520,Condoto,10449,4376,Chocó,0
1056,Confines,403,2294,Santander,0
716,Consacá,1813,7483,Nariño,0
830,Contadero,2358,4615,Nariño,0
1022,Contratación,2673,778,Santander,0
570,Convención,5085,8211,Norte de Santander,0
90,Copacabana,62881,9008,Antioquia,0
1016,Coper,765,2845,Boyacá,0
591,Córdoba,3087,9302,Bolívar,0
541,Córdoba,2353,11684,Nariño,0
911,Córdoba,2996,2298,Quindío,0
228,Corinto,13038,19258,Cauca,0
809,Coromoro,1050,6534,Santander,0
100,Corozal,52060,11186,Sucre,0
1079,Corrales,1551,700,Boyacá,0
304,Cota,14697,10735,Cundinamarca,0
498,Cotorra,4046,11441,Córdoba,0
1052,Covarachía,517,2308,Boyacá,0
550,Coveñas,3888,9891,Sucre,0
261,Coyaima,4816,23519,Tolima,0
1032,Cravo Norte,2311,982,Arauca,0
755,Cuaspud,2375,6270,Nariño,0
843,Cubará,2013,4717,Boyacá,0
876,Cubarral,3976,2054,Meta,0
961,Cucaita,1923,2764,Boyacá,0
813,Cucunubá,1407,6114,Cundinamarca,0
6,Cúcuta,640462,22303,Norte de Santander,1
804,Cucutilla,1219,6406,Norte de Santander,0
1097,Cuítiva,218,1674,Boyacá,0
428,Cumaral,12364,5786,Meta,0
186,Cumaribo,7110,30630,Vichada,0
180,Cumbal,8609,29740,Nariño,0
493,Cumbitara,1837,13844,Nariño,0
699,Cunday,2263,7371,Tolima,0
614,Curillo,6203,5534,Caquetá,0
608,Curití,3606,8336,Santander,0
318,Curumaní,19156,4879,Cesar,0
326,Dabeiba,8944,14336,Antioquia,0
190,Dagua,8108,28416,Valle del Cauca,0
202,Dibulla,5577,28611,La Guajira,0
481,Distracción,5431,10709,La Guajira,0
782,Dolores,3231,4784,Tolima,0
337,Don Matías,14973,7753,Antioquia,0
31,Dosquebradas,194380,8409,Risaralda,0
58,Duitama,103552,9964,Boyacá,0
1011,Duranía,1791,1944,Norte de Santander,0
588,Ebéjico,2232,10278,Antioquia,0
637,El Águila,2715,8400,Valle del Cauca,0
672,El Atrato,3606,6589,Chocó,0
129,El Bagre,26065,24177,Antioquia,0
117,El Banco,35743,20058,Magdalena,0
680,El Cairo,2808,7242,Valle del Cauca,0
1081,El Calvario,804,1432,Meta,0
549,El Carmen,2315,11475,Norte de Santander,0
534,El Carmen de Atrato,6963,7329,Chocó,0
83,El Carmen de Bolívar,61785,15164,Bolívar,0
382,El Carmen de Chucurí,5924,14372,Santander,0
139,El Carmen de Viboral,30887,16453,Antioquia,0
863,El Castillo,2078,4223,Meta,0
112,El Cerrito,35909,22116,Valle del Cauca,0
181,El Charco,10461,27746,Nariño,0
920,El Cocuy,2770,2427,Boyacá,0
351,El Colegio,8394,13555,Cundinamarca,0
284,El Copey,20681,5906,Cesar,0
347,El Doncello,14480,7703,Caquetá,0
1023,El Dorado,1480,1957,Meta,0
763,El Dovio,5012,3395,Valle del Cauca,0
948,El Encanto,0,4884,Amazonas,0
983,El Espino,1314,2891,Boyacá,0
1095,El Guacamayo,425,1542,Santander,0
794,El Guamo,4380,3390,Bolívar,0
745,El Molino,6086,2751,La Guajira,0
331,El Paso,3992,19021,Cesar,0
376,El Paujil,10788,9740,Caquetá,0
489,El Peñol,9210,6638,Antioquia,0
849,El Peñol,1042,5426,Nariño,0
696,El Peñón,4008,5686,Bolívar,0
953,El Peñón,445,4362,Cundinamarca,0
928,El Peñón,897,4217,Santander,0
465,El Piñón,6181,10561,Magdalena,0
551,El Pital,5144,8632,Huila,0
619,El Playón,5620,6026,Santander,0
366,El Retén,16535,4693,Magdalena,0
324,El Retorno,12075,11289,Guaviare,0
657,El Roble,4442,6228,Sucre,0
441,El Rosal,12661,4987,Cundinamarca,0
679,El Rosario,3365,6698,Nariño,0
274,El Santuario,23242,3934,Antioquia,0
584,El Tablón de Gómez,901,11729,Nariño,0
136,El Tambo,6919,40755,Cauca,0
604,El Tambo,5309,6777,Nariño,0
642,El Tarra,4499,6475,Norte de Santander,0
329,El Zulia,13905,9202,Norte de Santander,0
1000,Elías,1262,2726,Huila,0
1068,Encino,463,2017,Santander,0
1035,Enciso,641,2617,Santander,0
678,Entrerrios,5276,4826,Antioquia,0
28,Envigado,225266,7588,Antioquia,0
84,Espinal,58494,17562,Tolima,0
44,Facatativá,123931,13019,Cundinamarca,0
719,Falan,1646,7565,Tolima,0
647,Filadelfia,4173,6701,Caldas,0
560,Filandia,7207,6260,Quindío,0
881,Firavitoba,2125,3739,Boyacá,0
257,Flandes,25163,4036,Tolima,0
37,Florencia,157038,21411,Caquetá,1
869,Florencia,1399,4747,Cauca,0
972,Floresta,1811,2667,Boyacá,0
865,Florián,1489,4804,Santander,0
108,Florida,43323,15233,Valle del Cauca,0
27,Floridablanca,257318,9351,Santander,0
598,Fómeque,4755,7479,Cundinamarca,0
211,Fonseca,21848,11937,La Guajira,0
297,Fortul,13408,12337,Arauca,0
803,Fosca,1959,5671,Cundinamarca,0
497,Francisco Pizarro,7830,7667,Nariño,0
362,Fredonia,8578,12848,Antioquia,0
247,Fresno,14891,15274,Tolima,0
478,Frontino,6860,9451,Antioquia,0
559,Fuente de Oro,7473,5999,Meta,0
113,Fundación,55842,1614,Magdalena,0
851,Funes,2051,4401,Nariño,0
81,Funza,73309,4837,Cundinamarca,0
891,Fúquene,265,5404,Cundinamarca,0
43,Fusagasugá,112616,27189,Cundinamarca,0
889,Gachalá,2030,3671,Cundinamarca,0
519,Gachancipá,8614,6217,Cundinamarca,0
1061,Gachantivá,362,2255,Boyacá,0
633,Gachetá,3740,7423,Cundinamarca,0
1080,Galán,601,1643,Santander,0
154,Galapa,39814,4059,Atlántico,0
377,Galeras,12576,7939,Sucre,0
995,Gama,858,3153,Cundinamarca,0
462,Gamarra,9535,7321,Cesar,0
933,Gámbita,388,4650,Santander,0
955,Gámeza,1562,3214,Boyacá,0
460,Garagoa,13753,3221,Boyacá,0
70,Garzón,44344,47842,Huila,0
795,Génova,3924,3844,Quindío,0
207,Gigante,18338,15533,Huila,0
365,Ginebra,10307,10934,Valle del Cauca,0
996,Giraldo,1306,2703,Antioquia,0
61,Girardot,102806,3477,Cundinamarca,0
114,Girardota,34056,22695,Antioquia,0
34,Girón,170872,19411,Santander,0
576,Gómez Plata,6009,6955,Antioquia,0
840,González,1313,5476,Cesar,0
902,Gramalote,2719,2793,Norte de Santander,0
687,Granada,3642,6224,Antioquia,0
741,Granada,2085,6792,Cundinamarca,0
98,Granada,54418,10277,Meta,0
857,Guaca,2203,4142,Santander,0
1108,Guacamayas,491,1166,Boyacá,0
198,Guacarí,20864,13932,Valle del Cauca,0
390,Guachené,5100,14759,Cauca,0
626,Guachetá,3763,7609,Cundinamarca,0
495,Guachucal,3003,12539,Nariño,0
862,Guadalupe,2118,4188,Antioquia,0
358,Guadalupe,5157,16500,Huila,0
962,Guadalupe,1525,3157,Santander,0
173,Guaduas,19873,19190,Cundinamarca,0
610,Guaitarilla,4230,7615,Nariño,0
886,Gualmatán,2239,3534,Nariño,0
267,Guamal,7894,19614,Magdalena,0
710,Guamal,6858,2545,Meta,0
231,Guamo,16724,15389,Tolima,0
252,Guapi,18199,11598,Cauca,0
1089,Guapotá,535,1585,Santander,0
442,Guaranda,6672,10974,Sucre,0
133,Guarne,18032,30627,Antioquia,0
514,Guasca,5316,9687,Cundinamarca,0
916,Guatapé,4145,1086,Antioquia,0
1059,Guataquí,1379,1270,Cundinamarca,0
832,Guatavita,1983,4941,Cundinamarca,0
702,Guateque,7186,2366,Boyacá,0
504,Guática,3976,11285,Risaralda,0
1015,Guavatá,726,2894,Santander,0
1014,Guayabal de Siquima,868,2776,Cundinamarca,0
943,Guayabetal,1516,3443,Cundinamarca,0
938,Guayatá,1294,3719,Boyacá,0
1008,Güepsa,1906,1898,Santander,0
839,Güicán,1713,5088,Boyacá,0
986,Gutiérrez,1144,3030,Cundinamarca,0
652,Hacarí,1231,9491,Norte de Santander,0
605,Hatillo de Loba,3513,8530,Bolívar,0
1075,Hato,824,1516,Santander,0
592,Hato Corozal,5447,6917,Casanare,0
294,Hatonuevo,14543,11289,La Guajira,0
883,Heliconia,3047,2790,Antioquia,0
998,Herrán,1026,2980,Norte de Santander,0
783,Herveo,2044,5964,Tolima,0
949,Hispania,3238,1636,Antioquia,0
831,Hobo,5372,1591,Huila,0
312,Honda,23800,747,Tolima,0
8,Ibagué,533361,30716,Tolima,1
645,Icononzo,3439,7455,Tolima,0
750,Iles,1961,6825,Nariño,0
870,Imués,576,5555,Nariño,0
387,Inírida,12829,7154,Guainía,1
239,Inzá,2282,28970,Cauca,0
42,Ipiales,105875,39198,Nariño,0
577,Iquira,2392,10567,Huila,0
269,Isnos,5962,21523,Huila,0
301,Istmina,20281,5238,Chocó,0
26,Itaguí,250967,22977,Antioquia,0
372,Ituango,5820,14808,Antioquia,0
1073,Iza,1037,1336,Boyacá,0
433,Jambaló,1230,16709,Cauca,0
50,Jamundí,84976,39610,Valle del Cauca,0
556,Jardín,7212,6461,Antioquia,0
801,Jenesano,2006,5653,Boyacá,0
607,Jericó,8517,3499,Antioquia,0
1002,Jericó,641,3315,Boyacá,0
1057,Jerusalén,585,2098,Cundinamarca,0
1040,Jesús María,861,2246,Santander,0
1118,Jordán,55,1044,Santander,0
457,Juan de Acosta,11573,5460,Atlántico,0
756,Junín,1010,7634,Cundinamarca,0
1031,Juradó,1613,1682,Chocó,0
499,La Apartada,13288,2194,Córdoba,0
536,La Argentina,4955,9316,Huila,0
757,La Belleza,1923,6669,Santander,0
263,La Calera,12051,15827,Cundinamarca,0
1067,La Capilla,964,1535,Boyacá,0
120,La Ceja,47101,6892,Antioquia,0
758,La Celia,3436,5148,Risaralda,0
1003,La Chorrera,0,3933,Amazonas,0
427,La Cruz,6633,11616,Nariño,0
622,La Cumbre,2517,9045,Valle del Cauca,0
82,La Dorada,69764,7971,Caldas,0
603,La Esperanza,1742,10381,Norte de Santander,0
99,La Estrella,37000,27323,Antioquia,0
707,La Florida,1813,7641,Nariño,0
580,La Gloria,6256,6504,Cesar,0
1122,La Guadalupe,0,374,Guainía,0
345,La Jagua de Ibirico,19086,3225,Cesar,0
1036,La Jagua del Pilar,2307,946,La Guajira,0
888,La Llanada,1828,3898,Nariño,0
210,La Macarena,4522,29290,Meta,0
906,La Merced,2227,3166,Caldas,0
235,La Mesa,17842,13981,Cundinamarca,0
320,La Montañita,4978,18811,Caquetá,0
648,La Palma,4104,6720,Cundinamarca,0
332,La Paz,14995,7892,Cesar,0
929,La Paz,834,4270,Santander,0
927,La Pedrera,0,5125,Amazonas,0
827,La Peña,994,6041,Cundinamarca,0
848,La Pintada,5743,764,Antioquia,0
97,La Plata,27146,37783,Huila,0
760,La Playa,640,7913,Norte de Santander,0
488,La Primavera,8905,6981,Vichada,0
1111,La Salina,621,813,Casanare,0
660,La Sierra,1505,9121,Cauca,0
157,La Tebaida,40480,2655,Quindío,0
575,La Tola,9781,3331,Nariño,0
403,La Unión,10843,8386,Antioquia,0
293,La Unión,10739,15147,Nariño,0
630,La Unión,6109,5153,Sucre,0
179,La Unión,30194,8157,Valle del Cauca,0
469,La Uribe,3966,12573,Meta,0
1072,La Uvita,997,1438,Boyacá,0
142,La Vega,3291,42789,Cauca,0
532,La Vega,5328,8998,Cundinamarca,0
1117,La Victoria,0,1115,Amazonas,0
1106,La Victoria,869,805,Boyacá,0
573,La Victoria,9435,3732,Valle del Cauca,0
230,La Virginia,31583,531,Risaralda,0
880,Labateca,1442,4434,Norte de Santander,0
932,Labranzagrande,1164,3904,Boyacá,0
502,Landázuri,3705,11690,Santander,0
170,Lebrija,19217,20181,Santander,0
539,Leiva,4500,9564,Nariño,0
712,Lejanías,4426,4948,Meta,0
669,Lenguazaque,2295,8010,Cundinamarca,0
449,Lérida,14188,3207,Tolima,0
